method,coverage,interval_width,pinball_0.05,pinball_0.5,pinball_0.95
MC Dropout,0.7913232104121475,21.65381,1.0080943969476248,2.8235488501691512,1.0331875335362373
Deep Ensembles,0.9109761388286334,13.860153,0.46126815293781676,1.6942110988426622,0.43833104611312
