dataset,comparison,pinball_ttest_p,pinball_wilcoxon_p,coverage_dev_ttest_p,coverage_dev_wilcoxon_p
opsd,main_vs_mcdropout,0.0008493199123199694,0.03125,0.04693923415200792,1.0
opsd,main_vs_deepensemble,0.13235940862136375,0.96875,0.0008260419184777822,1.0
