dataset,n_seeds,coverage_ttest_p,coverage_wilcoxon_p,deviation_ttest_p,deviation_wilcoxon_p,mean_dev_raw,mean_dev_calibrated
gefcom2014,5,0.20109384915887332,0.3125,0.05929766001680772,0.03125,0.05533188720173536,0.0051800433839479295
opsd,5,0.8430252701884319,1.0,0.8430252701884319,0.59375,0.03507217521154804,0.036884021901443534
