dataset,comparison,metric,mean_paired_diff,ci95_lower,ci95_upper,cohens_dz,n_seeds
gefcom2014,main_vs_mcdropout,pinball_0.5,-1.2058325654135353,-1.4643848678224942,-0.9472802630045765,-5.790854965817554,5
gefcom2014,main_vs_mcdropout,calibration_error,-0.13077657266811285,-0.14680098900351835,-0.11475215633270734,-10.133321468883489,5
gefcom2014,main_vs_deepensemble,pinball_0.5,0.15604506946820243,-0.0026126567870503603,0.3147027957234552,1.2212172040246996,5
gefcom2014,main_vs_deepensemble,calibration_error,-0.046611713665943605,-0.0817951199794674,-0.011428307352419814,-1.644982473720734,5
opsd,main_vs_mcdropout,pinball_0.5,-13.62651143827386,-16.854368689823193,-10.398654186724528,-5.241727671162892,5
opsd,main_vs_mcdropout,calibration_error,0.020228969636635157,0.00044219221717930676,0.04001574705609101,1.2694125366919664,5
opsd,main_vs_deepensemble,pinball_0.5,2.928391979743502,-0.5715250526245228,6.4283090121115265,1.0389043112301184,5
opsd,main_vs_deepensemble,calibration_error,0.02888999502239928,0.020026879756931765,0.03775311028786679,4.047297778280848,5
