method,coverage,interval_width,pinball_0.05,pinball_0.5,pinball_0.95
MC Dropout,0.889198606271777,675.7258,19.902455133539696,66.69041188431356,24.473811396080936
Deep Ensembles,0.9075161772025884,453.39496,15.142966375431653,53.88694914632202,13.808936943179534
