feature,shapley_value,contribution_pct
wind,7.672503487451094,97.73131601092899
hour,0.1781055093551109,2.268683989071014
load_lag_1,-19.04263436586765,0.0
load_lag_24,-11.40963529411751,0.0
load_lag_168,-36.60850707818855,0.0
dayofweek,-15.669116804373129,0.0
solar,-16.673680284271313,0.0
