dataset,method,coverage_mean,coverage_std,width_mean,width_std
gefcom2014,GRU + CP,0.9027331887201736,0.005040385832441563,15.477801933847946,0.5576400796224592
gefcom2014,MC Dropout,0.7654490238611714,0.011468700700189943,21.4442142,0.3886690425750426
gefcom2014,Deep Ensemble,0.912225596529284,0.06067876301977335,15.5609028,1.096235948643676
opsd,GRU + CP,0.8634345445495271,0.010231700291571853,438.2657834714488,12.734891851559901
opsd,MC Dropout,0.8868690890990543,0.015157689386000144,694.5255000000001,22.04092725045841
opsd,Deep Ensemble,0.8946938775510205,0.007286160290531459,451.34344,9.794327820172231
