feature,calibration_mean,test_mean,calibration_std,test_std,ks_statistic,ks_pvalue,wasserstein_distance
LOAD (raw),6970.583673469388,6623.578098556496,1491.4957934348965,1483.247677386364,0.09377799900447992,6.901117937636909e-39,347.005574912892
"LOAD (normalized, theo thong ke calibration)",1.2449529267673234e-16,-0.23265608688805997,0.9999999999932955,0.9944699032375536,0.09377799900447992,6.901117937636909e-39,0.2326560868880601
load_lag_1,6970.616226978596,6623.298357391737,1491.466805935041,1483.1985345073826,0.09387755102040818,5.7158820645060914e-39,347.31786958685916
load_lag_24,6969.090094574415,6620.860527625684,1491.7872327451475,1481.813831330263,0.09497262319561972,7.097585297443915e-40,348.22956694873074
load_lag_168,6978.67994026879,6610.293578894973,1491.6520944682793,1481.0941259685962,0.10014932802389254,2.6603476103610376e-44,368.38636137381786
hour,11.50273768043803,11.498058735689398,6.9246903510063795,6.919225437258305,0.0006968641114982743,1.0,0.007864609258337589
dayofweek,2.995022399203584,3.000298656047785,2.001486533665918,2.003207957467052,0.0030861124937779927,0.9999999998787178,0.005276256844201188
solar,689.1018417122947,725.6887008461921,1029.7142526894197,1105.2889105864406,0.027177700348432143,0.0011771741608846895,39.5869586859134
wind,301.7727227476356,361.94644101543054,334.72828592503333,369.0700744832488,0.08382279741164755,3.811566216070628e-31,60.173718267794925
