seed,main_train_time_s,main_raw_crossings_before_correction,main_crossings_after_correction_before_reorder,main_crossings_final,main_pinball_0.05,main_pinball_0.5,main_pinball_0.95,main_coverage,main_calibration_error,main_width,mcdropout_train_time_s,mcdropout_crossings_raw,mcdropout_pinball_0.05,mcdropout_pinball_0.5,mcdropout_pinball_0.95,mcdropout_coverage,mcdropout_calibration_error,mcdropout_width,deepensemble_train_time_s,deepensemble_crossings_raw,deepensemble_pinball_0.05,deepensemble_pinball_0.5,deepensemble_pinball_0.95,deepensemble_coverage,deepensemble_calibration_error,deepensemble_width
0,162.53450059890747,1,0,0,0.48028605075421454,1.7230057307510211,0.514303725906279,0.9107158351409979,0.010715835140997831,16.183998707934727,60.01457476615906,0,0.9784059612431392,2.9949896294517275,1.235018876237518,0.7662472885032537,0.13375271149674628,21.498098,506.4058406352997,0,0.45182046903664014,1.6674218088840973,0.4717063185867677,0.9381344902386117,0.03813449023861171,15.773214
1,161.00275707244873,0,0,0,0.4960768489468275,1.7999163654848709,0.5213444107500543,0.90117136659436,0.0011713665943600127,15.753433338488016,62.25589060783386,0,0.9396225985219836,3.1212877469011087,1.3253165685426131,0.7691973969631236,0.1308026030368764,21.69523,516.8144218921661,0,0.47120153716081137,1.7538897016115662,0.5115402827049805,0.9336225596529284,0.033622559652928374,16.282183
2,171.57087922096252,0,0,0,0.44933179929034345,1.8175786463805752,0.49136824661655476,0.8983947939262473,0.0016052060737526963,14.789846109981896,58.147550106048584,0,0.9605709662097137,3.2536067949075766,1.3021140298971647,0.7462906724511931,0.15370932754880695,20.89435,524.9858379364014,0,0.4658976347437132,1.6525413912526954,0.4917519230112341,0.9522776572668112,0.05227765726681122,16.664715
3,192.2622516155243,120,5,0,0.48124597328799573,2.0223721151289866,0.5133799001546485,0.8992624728850326,0.0007375271149674401,15.608904120477613,65.50303292274475,0,0.9245686401504757,2.927658443028911,1.2781928388119783,0.7684164859002169,0.13158351409978308,21.24577,531.3302114009857,0,0.4889180945125423,1.6589689763828366,0.654734855435055,0.8045986984815618,0.09540130151843818,13.853832
4,201.89115691184998,1,1,0,0.45508564109803823,1.8218068163162195,0.491885674255093,0.9043817787418655,0.004381778741865516,15.054769339649582,65.93362379074097,0,0.9881628001606129,2.916299886840026,1.130083071336726,0.7770932754880694,0.12290672451193063,21.887623,461.17245078086853,0,0.46932977517680335,1.6716324485894654,0.45989944245179176,0.9324945770065076,0.0324945770065076,15.23057
