method,detail,value
grouped (SHAP-style),"load_history (khối gộp, không tách lag)",1.4221216440200806
temporal (proposed),load_lag_1,2.584841012954712
temporal (proposed),load_lag_24,0.0
temporal (proposed),load_lag_168,0.26394081115722656
