feature,mean_shap_value,mean_abs_shap,contribution_pct
hour,-17.04905414692677,83.95912435568985,21.527724538051743
load_lag_1,25.723900058863766,72.60750969479055,18.617088733339603
solar,40.90804751912545,69.24502142727643,17.754922509704265
load_lag_168,-19.035089915962875,57.91661650107529,14.850237848230194
load_lag_24,-8.782641173315374,55.54270716908452,14.24155038787861
dayofweek,17.2365720181504,45.96310331638906,11.785270924424305
wind,-0.347670385881518,4.770556471343534,1.2232050583712868
