dataset,method,mean,std
gefcom2014,DeepEnsemble,19.747201331281353,1.8106736600192592
gefcom2014,GRU+CP,19.580728589365965,0.6689304861731608
gefcom2014,MCDropout,44.248225404447695,1.1936454904187184
opsd,DeepEnsemble,590.5929000454984,8.281927870440315
opsd,GRU+CP,618.7525426612034,15.40425373534671
opsd,MCDropout,945.0287407788,24.331206292113073
